"Company
(Maker-if known)","Company
Location","Broad Bean
Origin","Specific Bean Origin
or Bar Name","Bean
Type","Cocoa
Percent",Rating,Flavours of Cocoa Rating System,"Review
Date",REF
Cacao Barry,France,Dominican Republic,Santo Domingo, ,70%,3,satisfactory,2010,586
Cacao Barry,France,Tanzania,Tanzania, ,75%,2,Disappointing,2008,300
Cacao Barry,France,Venezuela,Venezuela, ,72%,2,Disappointing,2007,141
Cacao Barry,France,Mexico,Mexico, ,66%,3,satisfactory,2007,147
Cacao de Origen,Venezuela,Venezuela,Chuao,Trinitario,77%,3,satisfactory,2015,1688
Cacao de Origen,Venezuela,Venezuela,Rio Caribe,Trinitario,75%,3,satisfactory,2015,1692
Cacao de Origen,Venezuela,Venezuela,Agua Fria; Sucre region, ,75%,2,Disappointing,2014,1391
Cacao de Origen,Venezuela,Venezuela,Macuare; Miranda; Chloe formula, ,74%,3,satisfactory,2014,1391
Cacao de Origen,Venezuela,Venezuela,"Chuao, Aragua region",Trinitario,75%,3,satisfactory,2014,1391
Cacao de Origen,Venezuela,Venezuela,"Chuao, Aragua region",Trinitario,70%,3.75,Praiseworthy,2014,1395
Cacao de Origen,Venezuela,Venezuela,Hacienda la Trinidad, ,74%,3,satisfactory,2015,1668
Cacao Hunters,Colombia,Colombia,Macondo, ,71%,3.75,Praiseworthy,2016,1816
Cacao Hunters,Colombia,Colombia,Perla Negra, ,74%,3.75,Praiseworthy,2016,1816
Cacao Hunters,Colombia,Colombia,Arhuacos, ,72%,3.75,Praiseworthy,2015,1662
Cacao Hunters,Colombia,Colombia,Sierra Nevada, ,64%,3,satisfactory,2014,1430
Cacao Hunters,Colombia,Colombia,Tumaco, ,70%,3,satisfactory,2014,1430
Cacao Hunters,Colombia,Colombia,"Boyaca, Aprocampa Coop, Pauna", ,69%,3,satisfactory,2014,1434
Cacao Hunters,Colombia,Colombia,Arauca, ,70%,3,satisfactory,2014,1434
Cacao Market,U.S.A.,Honduras,"Jutiapa, lot 050916D",Trinitario,70%,3,satisfactory,2016,1860
Cacao Prieto,U.S.A.,Dominican Republic,"Criollo, Dominican Republic",Criollo,72%,3.75,Praiseworthy,2012,991
Cacao Prieto,U.S.A.,Dominican Republic,"Dominican Republicm, rustic", ,72%,3,satisfactory,2011,641
Cacao Prieto,U.S.A.,Dominican Republic,Dominican Republic, ,66%,3.75,Praiseworthy,2011,641
Cacao Prieto,U.S.A.,Dominican Republic,"Dominican Republic, rustic", ,65%,3,satisfactory,2011,647
Cacao Sampaka,Spain,Congo,"Mahali, Kasai",Criollo,70%,3,satisfactory,2016,1908
Cacao Sampaka,Spain,Madagascar,Madagascar,Trinitario,71%,3,satisfactory,2010,508
Cacao Sampaka,Spain,Ecuador,Ecuador, ,71%,3.75,Praiseworthy,2010,523
Cacao Sampaka,Spain,Papua New Guinea,Papua, ,71%,4,Premium,2010,523
Cacao Sampaka,Spain,Grenada,Grenada,Trinitario,71%,3,satisfactory,2010,537
Cacao Sampaka,Spain,Venezuela,Venezuela, ,71%,3,satisfactory,2010,537
Cacao Sampaka,Spain,Venezuela,Venezuela, ,77%,3,satisfactory,2010,537
Cacao Sampaka,Spain,Mexico,"Porcelana, Tabasco, La Joya",Criollo,70%,4,Premium,2009,336
Cacao Sampaka,Spain,Mexico,"Xoconusco, Chiapas",Criollo,70%,4,Premium,2009,346
Cacao Store,Japan,Madagascar,Madagascar,Trinitario,70%,3,satisfactory,2015,1684
Cacao Store,Japan,Peru,Peru, ,70%,3,satisfactory,2015,1684
Cacao Store,Japan,Vietnam,Vietnam,Trinitario,70%,3,satisfactory,2015,1684
Cacaosuyo (Theobroma Inversiones),Peru,Peru,Piura, ,70%,3,satisfactory,2013,1173
Cacaoyere (Ecuatoriana),Ecuador,Ecuador,Amazonia,Forastero (Arriba),63%,3,satisfactory,2008,237
Cacaoyere (Ecuatoriana),Ecuador,Ecuador,Esmeraldas,Forastero (Arriba),71%,3,satisfactory,2008,237
Cacaoyere (Ecuatoriana),Ecuador,Ecuador,Bolivar,Forastero (Arriba),82%,2,Disappointing,2008,245
Cacaoyere (Ecuatoriana),Ecuador,Ecuador,Pichincha,Forastero (Arriba),91%,1,Unpleasant,2008,259
Callebaut,Belgium,Grenada,Grenade,Trinitario,60%,3,satisfactory,2008,296
Callebaut,Belgium,Ecuador,Baking, ,70%,1,Unpleasant,2007,141
C-Amaro,Italy,Cuba,Cuba, ,75%,2,Disappointing,2014,1442
C-Amaro,Italy,Dominican Republic,Dominican Republic, ,72%,3,satisfactory,2014,1442
C-Amaro,Italy, ,"Lago di Como, Blu",Blend,70%,3,satisfactory,2014,1442
C-Amaro,Italy,Ecuador,Ecuador, ,100%,3,satisfactory,2013,1185
C-Amaro,Italy,Venezuela,Venezuela, ,80%,3,satisfactory,2012,809
C-Amaro,Italy,Sao Tome & Principe,Sao Tome,Forastero,78%,2,Disappointing,2011,749
C-Amaro,Italy,Trinidad,Trinidad,Trinitario,70%,2,Disappointing,2011,765
Cao,U.S.A.,Venezuela,Porcelana,Criollo,75%,2,Disappointing,2016,1804
Cao,U.S.A.,Tanzania,Tanzania, ,73%,3,satisfactory,2016,1804
Cao,U.S.A.,Venezuela,"Porcelana, Batch 5163",Criollo,70%,3,satisfactory,2016,1804
Cao,U.S.A.,Bolivia,Bolivia, ,75%,3,satisfactory,2016,1808
Cao,U.S.A.,Brazil,Brazil,Trinitario,70%,3,satisfactory,2016,1808
Caoni (Tulicorp),Ecuador,Ecuador,Esmeraldas,Forastero (Arriba),77%,2,Disappointing,2008,237
Caoni (Tulicorp),Ecuador,Ecuador,Manabi,Forastero (Arriba),77%,2,Disappointing,2008,237
Caoni (Tulicorp),Ecuador,Ecuador,Los Rios,Forastero (Arriba),77%,3,satisfactory,2008,245
Caoni (Tulicorp),Ecuador,Ecuador,Manabi,Forastero (Arriba),55%,3,satisfactory,2008,266
Caoni (Tulicorp),Ecuador,Ecuador,Los Rios,Forastero (Arriba),55%,3,satisfactory,2008,269
Caoni (Tulicorp),Ecuador,Ecuador,Esmeraldas,Forastero (Arriba),55%,3,satisfactory,2008,269
Captain Pembleton,New Zealand,Papua New Guinea,"Saidor Estate, Madang P.",Trinitario,70%,3,satisfactory,2014,1263
Captain Pembleton,New Zealand,Papua New Guinea,Kulili Estate, ,70%,3.75,Praiseworthy,2014,1263
Caribeans,Costa Rica,Guatemala,"Antigua, Special Reserve", ,72%,3,satisfactory,2015,1582
Caribeans,Costa Rica,Costa Rica,"Talamanca, Raul-Kekoldo community", ,72%,3,satisfactory,2015,1586
Caribeans,Costa Rica,Costa Rica,Anselmo Paraiso Estate, ,72%,3,satisfactory,2015,1586
Caribeans,Costa Rica,Costa Rica,Costa Rica,Forastero,72%,3,satisfactory,2012,841
Caribeans,Costa Rica,Costa Rica,Costa Rica,Forastero,80%,3,satisfactory,2012,845
Carlotta Chocolat,Colombia,Colombia,Arauca,Trinitario,65%,3,satisfactory,2016,1884
Carlotta Chocolat,Colombia,Colombia,Tumaco,Trinitario,65%,3,satisfactory,2016,1888
Carlotta Chocolat,Colombia,Colombia,Cordoba,Trinitario,65%,3,satisfactory,2016,1888
Carlotta Chocolat,Colombia,Colombia,Huila,Trinitario,65%,3,satisfactory,2016,1888
Carlotta Chocolat,Colombia,Colombia,Cesar,CCN51,65%,3,satisfactory,2016,1888
Castronovo,U.S.A.,Belize,"Maya Mtn, Batch 454, Heirloom",Trinitario,72%,4,Premium,2016,1724
Castronovo,U.S.A.,Honduras,"the lost city, gracias a dias, batch 362",Trinitario,72%,3,satisfactory,2015,1570
Castronovo,U.S.A.,Dominican Republic,"Duarte, Batch 360","Criollo, Trinitario",70%,3.75,Praiseworthy,2015,1570
Castronovo,U.S.A.,Venezuela,"Piaroa, Amazonas, Batch 350", ,72%,3,satisfactory,2015,1574
Castronovo,U.S.A.,Colombia,Sierra Nevada,"Criollo, Trinitario",72%,3,satisfactory,2014,1347
Castronovo,U.S.A.,Colombia,Arauca,"Criollo, Trinitario",76%,3,satisfactory,2014,1371
Castronovo,U.S.A.,Dominican Republic,Elvesia P.,Trinitario,70%,3,satisfactory,2014,1407
Castronovo,U.S.A.,Bolivia,Bolivia,Trinitario,70%,3,satisfactory,2013,1101
Castronovo,U.S.A.,Dominican Republic,Conacado,Trinitario,73%,3,satisfactory,2013,1101
Castronovo,U.S.A.,Peru,San Martin,Criollo,70%,2,Disappointing,2013,1105
Castronovo,U.S.A.,Venezuela,"Guaniamo, Amazonas", ,70%,3,satisfactory,2013,1105
Castronovo,U.S.A.,Nicaragua,Nicaragua,Trinitario,72%,3,satisfactory,2013,1109
Castronovo,U.S.A.,Peru,Tumbes,Criollo,70%,3,satisfactory,2013,1153
Castronovo,U.S.A.,Venezuela,Guaniamo, ,72%,3,satisfactory,2013,1153
Cello,U.S.A.,Ecuador,Ecuador, ,70%,2,Disappointing,2014,1247
Cello,U.S.A.,Peru,Peru, ,70%,3,satisfactory,2014,1247
Cello,U.S.A.,Venezuela,Venezuela, ,70%,3,satisfactory,2014,1251
Cello,U.S.A.,Bolivia,Bolivia, ,70%,3,satisfactory,2014,1251
Cemoi,France,Ecuador,Equateur, ,72%,3,satisfactory,2009,404
Chaleur B,Canada,Uganda,Uganda,Forastero,70%,3,satisfactory,2014,1426
Charm School,U.S.A.,Belize,Maya Mtn, ,70%,3,satisfactory,2016,1900
Chchukululu (Tulicorp),Ecuador,Ecuador,Arriba,Forastero (Arriba),55%,3,satisfactory,2010,486
Chchukululu (Tulicorp),Ecuador,Ecuador,Los Rios,Forastero (Arriba),75%,3,satisfactory,2008,252
Chequessett,U.S.A.,Costa Rica,la Amistad, ,70%,3,satisfactory,2014,1235
Chloe Chocolat,France, ,Blend No. 1, ,70%,3,satisfactory,2011,672
Chocablog,U.K.,Ecuador,Ecuador, ,70%,3,satisfactory,2015,1454
Choco Del Sol,Germany,Belize,Maya Mountain w/ nibs,Trinitario,75%,3,satisfactory,2014,1407
Choco Del Sol,Germany,Belize,Maya Mountain,Trinitario,82%,3,satisfactory,2014,1407
Choco Dong,South Korea,Vietnam,"Mekong Delta, early 2014 Harvest",Trinitario,70%,3,satisfactory,2015,1696
Choco Dong,South Korea,Malaysia,"Tawau, Oct. 2015 Harvest",Trinitario,70%,3,satisfactory,2015,1696
Chocolarder,U.K.,Peru,Peru,Criollo,65%,2,Disappointing,2015,1482
Chocolarder,U.K.,Peru,Peru + nibs,Criollo,65%,3,satisfactory,2015,1482
Chocolarder,U.K.,Dominican Republic,Dominican Republic, ,80%,2,Disappointing,2015,1514
Chocola'te,U.S.A.,Madagascar,Madagascar,Trinitario,70%,3.75,Praiseworthy,2011,647
Chocola'te,U.S.A.,Venezuela,Venezuela, ,68%,3.75,Praiseworthy,2011,647
Chocolate Alchemist-Philly,U.S.A.,Peru,"Tumbes, ""Zarumilla""", ,90%,2,Disappointing,2016,1772
Chocolate Alchemist-Philly,U.S.A., ,"Philly Blend, 5 plantations", ,80%,2,Disappointing,2016,1772
Chocolate Con Amor,U.S.A.,Bolivia,Wild Bolivian, ,70%,2,Disappointing,2016,1760
Chocolate Con Amor,U.S.A.,Uganda,Uganda, ,70%,3,satisfactory,2016,1760
Chocolate Con Amor,U.S.A.,Dominican Republic,Dominican Republic, ,60%,3,satisfactory,2016,1764
Chocolate Con Amor,U.S.A.,Dominican Republic,Dominican Republic, ,75%,3,satisfactory,2016,1764
Chocolate Con Amor,U.S.A.,Venezuela,Ocumare,Criollo (Ocumare),80%,3,satisfactory,2016,1764
Chocolate Con Amor,U.S.A.,Ecuador,Ecuador, ,70%,3,satisfactory,2016,1764
Chocolate Con Amor,U.S.A.,Nicaragua,Nicaragua, ,80%,3,satisfactory,2016,1768
Chocolate Conspiracy,U.S.A.,Peru,Peru, ,74%,3,satisfactory,2014,1259
Chocolate Makers,Amsterdam,Dominican Republic,Tres Hombres,Trinitario,75%,3,satisfactory,2015,1530
Chocolate Makers,Amsterdam,Congo,"Congo, Gorilla bar",Forastero,68%,3,satisfactory,2015,1530
Chocolate Makers,Amsterdam,Peru,"Peru, Awagum bar",Criollo,80%,3.75,Praiseworthy,2015,1530
"Chocolate Tree, The",Scotland,Peru,Maranon,Forastero (Nacional),69%,3.75,Praiseworthy,2015,1582
"Chocolate Tree, The",Scotland,Venezuela,Carenero Superior,Trinitario,80%,3.75,Praiseworthy,2015,1582
"Chocolate Tree, The",Scotland,Peru,Peru,Forastero (Nacional),70%,3.75,Praiseworthy,2013,1121
"Chocolate Tree, The",Scotland,Ecuador,Ecuador,Forastero (Arriba),82%,2,Disappointing,2012,919
"Chocolate Tree, The",Scotland,Peru,Peru,Criollo,68%,3,satisfactory,2012,919
"Chocolate Tree, The",Scotland,Madagascar,Madagascar,Criollo,72%,3,satisfactory,2012,919
Chocolats Privilege,Canada,Mexico,Xoconusco,Criollo,70%,2,Disappointing,2014,1219
ChocoReko,Japan,Venezuela,Patanemo,Criollo,77%,3,satisfactory,2015,1454
Chocosol,Canada,Mexico,"Chiapas, Lacandon Jungle, Oaxacom Mtn", ,65%,3,satisfactory,2011,682
Chocovic,Spain,Mexico,Xoconusco,Criollo,71%,3,satisfactory,2010,478
Chocovic,Spain,Madagascar,Sambirano,Trinitario,71%,3,satisfactory,2010,478
Chocovic,Spain, ,Kendari, ,60%,3,satisfactory,2009,439
Chocovic,Spain, ,Tarakan, ,75%,3,satisfactory,2009,439
Chocovic,Spain,Venezuela,Ocumare,Criollo,71%,3,satisfactory,2008,209
Chocovic,Spain,Ecuador,"Bolivar, Guaranda",Forastero (Arriba),71%,2,Disappointing,2007,117
Chocovic,Spain,Grenada,Guyave,Trinitario,71%,2,Disappointing,2007,117
Chocovic,Spain, ,Maragda,Blend,70%,3,satisfactory,2007,117
Chocovivo,U.S.A.,Mexico,Tabasco,Trinitario,65%,2,Disappointing,2015,1522
Chocovivo,U.S.A.,Mexico,Tabasco,Trinitario,75%,2,Disappointing,2015,1522
Choklat,Canada,Venezuela,Ocumare,Criollo,80%,2,Disappointing,2009,377
Choklat,Canada,Mexico,"Porcelana, Tabasco",Criollo,70%,3,satisfactory,2009,377
Choklat,Canada,Brazil,Brazilian, ,70%,3,satisfactory,2009,377
Choklat,Canada,Brazil,Brazilian, ,80%,3,satisfactory,2009,377
Choklat,Canada,Venezuela,Ocumare,Criollo,70%,3,satisfactory,2009,377
Chokolat Elot (Girard),Martinique,Martinique,Guadeloupe, ,42%,3,satisfactory,2013,1149
Choocsol,Canada,Mexico,"Chiapas, Lacandon Jungle, Oaxacom Mtn", ,75%,3,satisfactory,2016,1832
Christopher Morel (Felchlin),Canada,Peru,"Maranon Canyon, Fortunato No. 4",Forastero (Nacional),68%,3.75,Praiseworthy,2011,666
Chuao Chocolatier,U.S.A.,Venezuela,Choroni,Criollo,61%,3,satisfactory,2009,445
Chuao Chocolatier (Pralus),U.S.A.,Venezuela,Chuao,Trinitario,77%,3,satisfactory,2010,486
Claudio Corallo,Sao Tome,Sao Tome & Principe,Terreiro Velho P.,Forastero,73.50%,3.75,Praiseworthy,2010,470
Claudio Corallo,Sao Tome,Sao Tome & Principe,Terreiro Velho P. w/ sugar crystals,Forastero,80%,3,satisfactory,2008,209
Claudio Corallo,Sao Tome,Sao Tome & Principe,Terreiro Velho P.,Forastero,75%,4,Premium,2008,227
Claudio Corallo,Sao Tome,Sao Tome & Principe,Principe,Forastero,100%,1,Unpleasant,2008,252
Cloudforest,U.S.A.,Ecuador,"Camino Verde P., Balao, Guayas, 2014", ,73%,3,satisfactory,2015,1486
Coleman & Davis,U.S.A.,Madagascar,Sambirano,Trinitario,75%,3,satisfactory,2015,1646
Compania de Chocolate (Salgado),Argentina,Venezuela,Sur del Lago, ,70%,3,satisfactory,2010,579
Compania de Chocolate (Salgado),Argentina,Venezuela,Carenero Superior,Trinitario,80%,3,satisfactory,2008,292
Compania de Chocolate (Salgado),Argentina,Bolivia,Moxos, ,72%,3,satisfactory,2008,292
Compania de Chocolate (Salgado),Argentina,Venezuela,Ocumare,Criollo,70%,3.75,Praiseworthy,2008,292
Compania de Chocolate (Salgado),Argentina,Ecuador,Esmeraldas,Forastero (Nacional),88%,3,satisfactory,2008,296
Condor,U.S.A.,Ecuador,Camino Verde, ,76%,3,satisfactory,2015,1630
Confluence,U.S.A.,Vietnam,"Tien Giang, 2015, batch 10-2-16",Trinitario,78%,3,satisfactory,2016,1916
Coppeneur,Germany,Ecuador,"Ecuador, Puristique",Forastero (Nacional),65%,3,satisfactory,2013,1169
Coppeneur,Germany,Ghana,Ghana Puristique,Forastero,85%,3,satisfactory,2012,813
Coppeneur,Germany,Ecuador,Ecuador Puristique, ,100%,1,Unpleasant,2012,817
Coppeneur,Germany,Sao Tome & Principe,Uba Budo,Forastero,72%,3.75,Praiseworthy,2012,821
Coppeneur,Germany,Madagascar,Madagascar,Trinitario,70%,3,satisfactory,2012,959
Coppeneur,Germany,Grenada,Grenada,Trinitario,72%,3,satisfactory,2010,470
Coppeneur,Germany,Venezuela,Chuao,Trinitario,70%,3,satisfactory,2010,478
Coppeneur,Germany,Ecuador,"Los Rios, H. Iara",Nacional,72%,2,Disappointing,2010,558
Coppeneur,Germany,Trinidad,Trinidad,Trinitario,72%,3,satisfactory,2010,558
Coppeneur,Germany,Jamaica,Jamaica,Trinitario,72%,3,satisfactory,2010,558
Coppeneur,Germany,Venezuela,Ocumare 61,Criollo (Ocumare 61),72%,3,satisfactory,2010,558
Coppeneur,Germany,Peru,"Porcelana, Apotequil",Criollo,72%,3,satisfactory,2009,341
Coppeneur,Germany,Peru,"Porcelana, Apotequil",Criollo,62%,3,satisfactory,2009,445
Coppeneur,Germany,Venezuela,Chuao 100hr,"Criollo, Trinitario",70%,3,satisfactory,2009,451
Coppeneur,Germany,Venezuela,Chuao 70hr,"Criollo, Trinitario",70%,3.75,Praiseworthy,2009,451
Coppeneur,Germany,Mexico,"Porcelana, Tabasco, Mexico",Criollo,72%,3,satisfactory,2008,220
Coppeneur,Germany,Venezuela,"Porcelana, Venezuela",Criollo (Porcelana),72%,3,satisfactory,2008,220
Coppeneur,Germany,Madagascar,"Sambirano, Menava P.",Trinitario,72%,3,satisfactory,2007,196
Cote d' Or (Kraft),Belgium, ,Sensations Intense, ,70%,1,Unpleasant,2006,48
Cravve,Australia,Papua New Guinea,New Ireland,Forastero,70%,2,Disappointing,2014,1283
Cravve,Australia,Vanuatu,"Vanuatu, batch 2410",Trinitario,83%,3,satisfactory,2014,1335
Cravve,Australia,Tanzania,"Tanzania, batch a1",Forastero,75%,3,satisfactory,2012,971
Cravve,Australia,Brazil,"Bahia, batch a1213",Trinitario,65%,3,satisfactory,2012,975
Cravve,Australia,Fiji,"Namau Village, N. Taileva P., batch a2812",Trinitario,67%,3,satisfactory,2012,975
Cravve,Australia,Vanuatu,Vanuatu,Trinitario,64%,3,satisfactory,2012,975
Cravve,Australia,Papua New Guinea,Djual Island,Forastero,75%,3,satisfactory,2012,975
Creo,U.S.A.,Ecuador,"""heirloom"", Arriba Nacional",Forastero (Nacional),85%,3,satisfactory,2016,1736
Creo,U.S.A.,Ecuador,"""heirloom"", Arriba Nacional",Forastero (Nacional),73%,3.75,Praiseworthy,2016,1736
Daintree,Australia,Australia,Goodman Estate, ,70%,3,satisfactory,2015,1654
Daintree,Australia,Australia,"Daintree Estates, N. Queensland", ,70%,3,satisfactory,2011,785
Dalloway,U.S.A.,Dominican Republic,"Dominican Republic, batch 7", ,72%,3,satisfactory,2017,1928
Damson,U.K.,Trinidad,Robson Estate,Trinitario,70%,3,satisfactory,2015,1610
Damson,U.K.,Ecuador,Los Rios, ,70%,3,satisfactory,2015,1610
Damson,U.K.,Grenada,Crayfish Bay aka Non Pariel Estate, ,70%,2,Disappointing,2015,1666
Damson,U.K.,Nicaragua,O'Payo, ,70%,3,satisfactory,2015,1666
Dandelion,U.S.A., ,"Zorzal Reserva, 2015 H., Kerchner", ,70%,3.75,Praiseworthy,2016,1816
Dandelion,U.S.A.,Belize,"Maya Mtn., Break Bar- Snark",Trinitario,70%,3,satisfactory,2015,1446
Dandelion,U.S.A.,Belize,Maya Mountain,Trinitario,70%,3,satisfactory,2014,1219
Dandelion,U.S.A.,Ecuador,"Camino Verde P., Balao, Guayas, 2013", ,70%,3,satisfactory,2014,1295
Dandelion,U.S.A.,Liberia,Buto, ,70%,3,satisfactory,2014,1303
Dandelion,U.S.A.,Dominican Republic,"San Francisco de Macoris, Cibao region", ,70%,3.75,Praiseworthy,2014,1387
Dandelion,U.S.A.,Venezuela,"Cumboto, farmer Jose Lugo", ,70%,3,satisfactory,2013,1026
Dandelion,U.S.A.,Venezuela,Patanemo, ,70%,3,satisfactory,2013,1026
Dandelion,U.S.A.,Venezuela,"Mantuano, 2012", ,70%,3,satisfactory,2013,1085
Dandelion,U.S.A.,Papua New Guinea,Papua New Guinea, ,70%,3,satisfactory,2013,1153
Dandelion,U.S.A.,Costa Rica,Upala, ,70%,3,satisfactory,2012,805
Dandelion,U.S.A.,Colombia,Colombian, ,70%,3,satisfactory,2012,805
Dandelion,U.S.A.,Dominican Republic,"Elvesia, 2011", ,70%,3.75,Praiseworthy,2012,915
Dandelion,U.S.A.,Dominican Republic,Dominican Republic, ,70%,3,satisfactory,2011,654
Dandelion,U.S.A.,Madagascar,Madagascar,Trinitario,70%,3,satisfactory,2011,654
Dandelion,U.S.A.,Tanzania,Tanzania, ,70%,3,satisfactory,2011,654
Danta,Guatemala,Guatemala,Los Ujuxtes, ,82%,3,satisfactory,2014,1223
Danta,Guatemala,Venezuela,Chuao,Trinitario,75%,3,satisfactory,2012,987
Danta,Guatemala,Guatemala,Los Ujuxtes, ,70%,3.75,Praiseworthy,2012,987
Danta,Guatemala,Madagascar,Sambirano,Trinitario,70%,3.75,Praiseworthy,2012,987
Danta,Guatemala,Guatemala,Las Acacias E.,Criollo,70%,4,Premium,2012,987
Danta,Guatemala,Guatemala,"Oscuro, Finca Chimelb", ,70%,3,satisfactory,2012,991
Danta,Guatemala,Guatemala,Los Ujuxtes, ,60%,3,satisfactory,2011,661
Danta,Guatemala,Guatemala,Las Acacias E.,Criollo,75%,3,satisfactory,2009,423
Danta,Guatemala,Guatemala,Las Acacias E.,Criollo,60%,3,satisfactory,2009,423
DAR,U.S.A.,Venezuela,"Venezuela, batch 122", ,72%,3,satisfactory,2016,1920
DAR,U.S.A.,Vietnam,Vietnam,Trinitario,72%,3,satisfactory,2016,1920
DAR,U.S.A.,Ecuador,"DUO, batch 002", ,70%,3,satisfactory,2016,1920
Dark Forest,U.S.A.,Bolivia,Bolivia, ,75%,3,satisfactory,2016,1708
Dark Forest,U.S.A.,Madagascar,Madagascar,Trinitario,70%,3,satisfactory,2015,1550
Dark Forest,U.S.A.,Venezuela,Ocumare, ,70%,3,satisfactory,2015,1550
Dark Forest,U.S.A.,Tanzania,Tanzania, ,70%,3,satisfactory,2015,1554
Dark Forest,U.S.A.,Ecuador,Ecuador, ,70%,3,satisfactory,2015,1554
Davis,U.S.A.,Ghana,Ghana,Forastero,70%,2,Disappointing,2013,1093
Davis,U.S.A.,Dominican Republic,Rainforest, ,70%,3,satisfactory,2013,1093
Davis,U.S.A.,Venezuela,Venezuela, ,70%,3,satisfactory,2013,1093
Davis,U.S.A.,West Africa,West Africa,Forastero,58%,3,satisfactory,2012,907
De Mendes,Brazil,Brazil,"Nativo, Varzea", ,72%,3,satisfactory,2015,1462
De Mendes,Brazil,Brazil,"Selvagem, Jari", ,65%,3,satisfactory,2015,1462
De Villiers,South Africa,Uganda,Bundibugyo District,Forastero,70%,2,Disappointing,2016,1832
De Villiers,South Africa,Madagascar,"Sambirano Valley, batch 2477", ,70%,3,satisfactory,2016,1832
Dean and Deluca (Belcolade),U.S.A.,Madagascar,Madagascar,Trinitario,66%,2,Disappointing,2007,170
Dean and Deluca (Belcolade),U.S.A.,Costa Rica,Costa Rica, ,64%,3,satisfactory,2007,175
Dean and Deluca (Belcolade),U.S.A.,Ecuador,Ecuador, ,71%,3,satisfactory,2007,175
Dean and Deluca (Belcolade),U.S.A.,Ghana,Ghana,Forastero,60%,3,satisfactory,2007,175
Dean and Deluca (Belcolade),U.S.A.,Papua New Guinea,Papua New Guinea, ,64%,3,satisfactory,2007,180
Dean and Deluca (Belcolade),U.S.A.,Peru,Peru, ,64%,3,satisfactory,2007,180
Debauve & Gallais (Michel Cluizel),France,Papua New Guinea,Papua New Guinea, ,64%,3,satisfactory,2009,423
Debauve & Gallais (Michel Cluizel),France,Venezuela,Venezuela, ,66%,3.75,Praiseworthy,2008,263
Desbarres,Canada,Tanzania,"Kilombero, batch 41", ,72%,2,Disappointing,2016,1916
DeVries,U.S.A.,Bolivia,Bolivian, ,80%,3,satisfactory,2008,241
DeVries,U.S.A.,Costa Rica,Costa Rica,Trinitario,77%,3,satisfactory,2007,166
DeVries,U.S.A.,Dominican Republic,Dominican Republic, ,77%,3,satisfactory,2007,166
Dick Taylor,U.S.A.,Guatemala,Lanquin Estate, ,70%,3.75,Praiseworthy,2017,1952
Dick Taylor,U.S.A.,Vietnam,Tien Giang,Trinitario,78%,3,satisfactory,2016,1864
Dick Taylor,U.S.A.,Bolivia,"Alto Beni, Wild Harvest, Limited Ed.", ,70%,3.75,Praiseworthy,2015,1634
Dick Taylor,U.S.A.,Dominican Republic,Elvesia, ,74%,3,satisfactory,2014,1235
Dick Taylor,U.S.A.,Ecuador,"Ecuador, Choc. Garage Exclusive", ,70%,3,satisfactory,2013,1034
Dick Taylor,U.S.A.,Ecuador,Camino Verde, ,76%,3,satisfactory,2013,1193
Dick Taylor,U.S.A.,Bolivia,Bolivia, ,75%,3,satisfactory,2012,895
Dick Taylor,U.S.A.,Belize,Belize,Trinitario,72%,3,satisfactory,2012,955
Dick Taylor,U.S.A.,Madagascar,Sambirano,Trinitario,80%,3,satisfactory,2011,661
Dick Taylor,U.S.A.,Madagascar,Sambirano,Trinitario,72%,3,satisfactory,2011,661
Dick Taylor,U.S.A.,Venezuela,Mantuano,Criollo,75%,3,satisfactory,2011,682
Dick Taylor,U.S.A.,Dominican Republic,La Red, ,74%,3,satisfactory,2011,769
Dick Taylor,U.S.A.,Ecuador,Ecuador, ,70%,3,satisfactory,2011,769
Doble & Bignall,U.K.,Venezuela,Puerto Cabello, ,85%,3,satisfactory,2015,1688
Doble & Bignall,U.K.,Panama,"Panama, Raven", ,72%,3,satisfactory,2014,1371
Doble & Bignall,U.K.,Venezuela,"Puerto Cabello, Mantuano",Trinitario,72%,3,satisfactory,2014,1371
Doble & Bignall,U.K.,Nicaragua,Johe,"Criollo, Trinitario",72%,3,satisfactory,2014,1407
Dole (Guittard),U.S.A.,Hawaii,"O'ahu, N. Shore, Waialua Estate", ,70%,3.75,Praiseworthy,2009,311
Dolfin (Belcolade),Belgium,West Africa,Africa,Forastero,88%,3,satisfactory,2008,304
Dolfin (Belcolade),Belgium, ,Noir, ,70%,1,Unpleasant,2006,63
Domori,Italy,Ecuador,Hacienda Victoria, ,70%,3.75,Praiseworthy,2015,1672
Domori,Italy,Venezuela,Ocumare 77,Criollo (Ocumare 77),70%,3.75,Praiseworthy,2015,1672
Domori,Italy,Venezuela,"IL100, H. San Jose",Criollo,100%,3,satisfactory,2013,1109
Domori,Italy,Tanzania,Morogoro, ,70%,3,satisfactory,2012,863
Domori,Italy,Venezuela,Guasare,Criollo,70%,3.75,Praiseworthy,2012,863
Domori,Italy,Venezuela,"Canoabo, Hacienda San Jose",Criollo,70%,3,satisfactory,2011,693
Domori,Italy,Venezuela,"Chuao, Hacienda San Jose",Trinitario,70%,3,satisfactory,2010,470
Domori,Italy,Venezuela,"Carupano, H. San Jose",Trinitario,70%,3,satisfactory,2008,227
Domori,Italy,Colombia,Teyuna, ,70%,3,satisfactory,2008,272
